evidence_family,headline_endpoint,inferential_unit,n_independent_units,nested_or_descriptive_units,uncertainty_or_test
regular_tree_feedback,scalar versus neuron-indexed and exact transport,training seed,10,architectures and depths paired within seed,paired seed bootstrap and paired tests
ownership_validity,correct versus deranged ownership,training seed,10,conditions paired within seed,paired seed bootstrap and multiplicity-adjusted paired tests
subtree_credit_reversal,correct versus shared or deranged route,training seed,10,feedback representations paired within seed,paired seed bootstrap and exact sign-flip test
subtree_factorial,ancestry versus matched controls across bandwidth,training seed,20,budgets and representations paired within seed,paired seed bootstrap and BH-adjusted paired tests
credit_phase_depth,matched versus mismatched routed depth,simulation seed,50,task depths averaged within seed,seed bootstrap and Wilcoxon signed-rank test
credit_phase_alignment,ancestry capture across imposed alignment,simulation seed,50,alignment and rank paired within seed,seed bootstrap and paired tests
same_span_learning,finite-data coordinate crossover,simulation seed,50,sample sizes and dictionaries paired within seed,seed bootstrap and paired tests
positive_conductance_reliability,reliability-aligned versus control shunts,simulation seed,50,heterogeneity and methods paired within seed,seed bootstrap and paired tests
nonlinear_physical_depth,aligned D3 versus D1 and control interactions,training seed,10,depths mechanisms and alignments paired within seed,paired seed bootstrap and exact sign-flip test
point_dendrite_credit_controls,serial versus star point MLP and credit decomposition,training seed,10,architectures depths and credit modes paired within seed,paired seed bootstrap and exact sign-flip test
microns_primary_routing,routing capture and wiring efficiency,reconstructed cell,8,streams routes and synapses nested within cell,cell bootstrap and paired cell tests
microns_v661_replication,routing and focal sensitivity,reconstructed cell,47,streams sites routes and synapses nested within cell,cell bootstrap and paired cell tests
microns_inhibitory_census,connection topology and route capacity,postsynaptic target cell,20,presynaptic axons contacts and streams nested within target,target-cell bootstrap and paired target tests
focal_passive_perturbation,shunt minus additive localization,reconstructed cell,8,focal sites and synapses nested within cell,cell bootstrap after site averaging
active_conductance_focal,descendant-enriched active-state attenuation,reconstructed cell,8,channel-density draws sites and equilibria nested within cell,cell-level sensitivity summary
measured_visual_response,morphology-specific alignment null,target cell,7,13 scans stimulus splits and synapses nested within target,target-cell bootstrap
alignment_controlled_anatomy,capture and optimization under imposed alignment,reconstructed cell,8,40 streams and gradient fields nested within cell,cell bootstrap and paired cell tests
signed_animal_reanalysis,signed versus common population contrast,animal,6,neurons nested within animal,animal bootstrap exact random-sign and Wilcoxon tests
task_interference,quadratic overlap-by-leakage identity,deterministic calculation,0,101 by 101 evaluated grid,no inferential test
